BUILDING_I,APPLICATION,STATUS,TSA,Dis_SubDis,LUCategory,ZoCaseStat,BldgStatus,Office,Retail,BMR_Hotel,BMR_Inst,BMR_Indus,BMR_TotNonRes,BMR_ResGFA,BMR_ResDU,BMR_Totals
104,PCA 86-C-119-07,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,ACCEPTED,FDP Proposed,0,77000,199000,0,0,,0,0,276000
111,RZ 2016-HM-017,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,2600,0,0,0,,0,0,2600
11,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,10200,0,0,0,,175389,122,185589
105,PCA 86-C-119-07,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,ACCEPTED,FDP Proposed,0,40000,0,0,0,,691000,600,731000
103,PCA 86-C-119-07,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,ACCEPTED,FDP Proposed,543000,5500,0,0,0,,0,0,548500
102,PCA 86-C-119-07,FDP Proposed,Reston Town Center TSA,Reston Town Center Station North,Transit Station Mixed Use,ACCEPTED,FDP Proposed,664000,10700,0,0,0,,0,0,674700
101,PCA 78-C-098-04,FDP Proposed,Reston Town Center TSA,Old Reston Avenue,Mixed Use,UNDER REVIEW,FDP Proposed,45000,0,0,0,0,,0,0,45000
10,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,40000,0,0,0,,97430,53,137430
12,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,134085,60,134085
120,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,10000,0,0,0,,400000,400,410000
3,DPA HM-117-03,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station South,Residential Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,412178,383,412178
145,RZ 2017-HM-006,FDP Proposed,Wiehle-Reston East TSA,Reston East,Office,UNDER REVIEW,FDP Proposed,93339,40000,93339,0,0,,0,0,226678
121,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,30000,0,0,0,,250000,200,280000
122,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,110000,0,250000,0,,200000,200,560000
123,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,120000,0,0,0,,380000,380,500000
124,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,300000,45000,125000,0,0,,0,0,470000
125,RZ 2016-HM-007,FDP Proposed,Reston Town Center TSA,Reston Town Center Station South,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,1200000,65000,0,0,0,,450000,450,1715000
